15 25 4 36
163 117 211 257
1 1 0 0
14 16 40 45 52 56 64 75 79 90 95 99 100 113 128 135 154 155 219 220 239 246 261 274 275 279 284 295 299 310 318 322 329 334 358 360
R L L U
D L U U
D L U R
D D U R
D R U D
L D R D
L L U R
D D U U
R L L U
D U U U
R L R R
D U U D
L U U R
D U R D
D R D D
D U D R
D L D D
D L D D
R D D R
D D R D
D D U L
L D U L
L D U U
L R U U
L D U L
L R U D
L R U D
U R R D
R U R D
R R D R
U U R D
R U R D
D R R L
R R R U
U D D L
U R R D
L U R L
U U D U
R U R L
U U U D
L U U L
U U L L
R U L U
U U U L
U L L U
L U L U
D L U U
L D R U
L L U U
U D U U
R R L U
U R D U
R D L R
U D U D
U D L D
R D L D
R D L R
U U L D
U ? L L
L ? L D
L ? L D
D ? D D
L ? D R
D ? R U
L ? D U
U ? D R
L ? R R
D ? U D
D ? U R
L ? U U
U ? R U
U ? D L
L ? R L
D ? U U
L ? R U
U ? D U
U ? R U
L ? D ?
D ? U ?
W 1
